Title2,Company,Salary,Direction,Location,URL,Post days
Senior Data Ops Engineer,Revelator,     $70k - $100k,['Developer'],Europe,https://remoteok.com/remote-jobs/remote-senior-data-ops-engineer-revelator-469926,1d
Staff Software Engineer,Missive,     $120k - $160k,['Developer'],Worldwide,https://remoteok.com/remote-jobs/remote-staff-software-engineer-missive-463214,6d
Lead Data Scientist Operations,Monzo,     $40k - $75k*,"['Design', 'Training', 'Support', 'Growth', 'Banking', 'Bank', 'Cloud', 'Strategy', 'Lead', 'Operations', 'Operational', 'Analytics', 'Recruitment']",London  England  United Kingdom,https://remoteok.com/remote-jobs/remote-lead-data-scientist-operations-monzo-471432,6m
Senior Backend Engineer,Netlify,     $55k - $103k*,"['GraphQL', 'System', 'Consult', 'Technical', 'Support', 'Testing', 'Code', 'Web', 'Node JS', 'Typescript', 'Senior', 'Engineer', 'Engineering', 'Backend']",United States,https://remoteok.com/remote-jobs/remote-senior-backend-engineer-netlify-471367,1h
Content Marketing Specialist,Pachama,     $45k - $75k*,"['Technical', 'Writer', 'Testing', 'Growth', 'Web', 'Edu', 'Strategy', 'Content', 'Marketer', 'Marketing', 'Sales']",,https://remoteok.com/remote-jobs/remote-content-marketing-specialist-pachama-471366,1h
Cloud Infrastructure Engineer,PayPay,     $50k - $85k*,"['Design', 'System', 'Security', 'Technical', 'DevOps', 'Fintech', 'Cloud', 'Management', 'Engineer', 'Linux']",Japan,https://remoteok.com/remote-jobs/remote-cloud-infrastructure-engineer-paypay-471365,1h
Organized Play Trust and Safety Program Manager,The PokĂ©mon Company International,     $60k - $100k,"['Manager', 'Technical', 'Support', 'Growth', 'Healthcare']",Probably worldwide,https://remoteok.com/remote-jobs/remote-organized-play-trust-and-safety-program-manager-the-pokemon-company-international-471364,1h
Marketing Communications Manager,Blinkist,     $55k - $100k*,"['Manager', 'Design', 'Support', 'Test', 'Growth', 'Content', 'Marketing', 'Health']",Germany,https://remoteok.com/remote-jobs/remote-marketing-communications-manager-blinkist-471363,1h
Engineering Manager for Mobile,PayPay,     $50k - $110k*,"['Manager', 'Security', 'Technical', 'Growth', 'Fintech', 'Mobile', 'Management', 'Lead', 'Operations', 'Engineering']",Japan,https://remoteok.com/remote-jobs/remote-engineering-manager-for-mobile-paypay-471362,1h
Product Manager,PayPay,     $50k - $70k*,"['Manager', 'Design', 'Technical', 'Testing', 'Financial', 'Fintech', 'Management', 'Senior', 'Engineering']",Japan,https://remoteok.com/remote-jobs/remote-product-manager-paypay-471361,1h
Senior Technical Program Manager,PayPay,     $60k - $100k*,"['Manager', 'System', 'Technical', 'Support', 'Software', 'Growth', 'Fintech', 'Management', 'Senior', 'Engineering']",Japan,https://remoteok.com/remote-jobs/remote-senior-technical-program-manager-paypay-471360,1h
Senior Business Development Manager,HoYoverse,     $60k - $100k*,"['Manager', 'Game', 'Support', 'Travel', 'Senior', 'Healthcare']",Probably worldwide,https://remoteok.com/remote-jobs/remote-senior-business-development-manager-hoyoverse-471359,1h
Design Operations Manager,Grammarly,     $30k - $70k*,"['Design', 'Manager', 'Support', 'Growth', 'Operations', 'Health']",Probably worldwide,https://remoteok.com/remote-jobs/remote-design-operations-manager-grammarly-471357,1h
Platform Consultant,Yext,     $35k - $65k*,"['Consultant', 'Gaming', 'Software', 'Edu', 'Management', 'Content', 'Excel', 'Go']",India,https://remoteok.com/remote-jobs/remote-platform-consultant-yext-471356,1h
Director Product Design,Grammarly,     $30k - $70k*,"['Design', 'Director', 'Support', 'Growth', 'Strategy', 'Health', 'Engineering']",Probably worldwide,https://remoteok.com/remote-jobs/remote-director-product-design-grammarly-471355,1h
